"year","stcd","inc","pwin","dv","dvp","fr","po1","po2","redist","dexp","rexp","dpres","switchb","switcha","stch","cdch","cd","state","alphast","FIPS","ICPSR","RevShr","region","sequence","hibst","cdn","alphastcd"
1946,101,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"1","01","1","Alabama","AL",1,41,"1","S","1",1,1,"AL01"
1946,102,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"1","02","2","Alabama","AL",1,41,"1","S","1",1,2,"AL02"
1946,103,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"1","03","3","Alabama","AL",1,41,"1","S","1",1,3,"AL03"
1946,104,1,1,88.1,84.5,0,0,0,0,NA,NA,NA,0,0,"1","04","4","Alabama","AL",1,41,"1","S","1",1,4,"AL04"
1946,105,1,1,NA,NA,1,5,2,0,NA,NA,NA,0,0,"1","05","5","Alabama","AL",1,41,"1","S","1",1,5,"AL05"
1946,106,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"1","06","6","Alabama","AL",1,41,"1","S","1",1,6,"AL06"
1946,107,1,1,72.7,65.9,0,0,0,0,NA,NA,NA,0,0,"1","07","7","Alabama","AL",1,41,"1","S","1",1,7,"AL07"
1946,108,1,1,92.4,NA,0,0,0,0,NA,NA,NA,0,0,"1","08","8","Alabama","AL",1,41,"1","S","1",1,8,"AL08"
1946,109,2,1,94.1,81.7,9,0,0,0,NA,NA,NA,0,0,"1","09","9","Alabama","AL",1,41,"1","S","1",1,9,"AL09"
1946,301,1,1,NA,NA,0,0,1,0,NA,NA,NA,0,0,"3","01","1","Arizona","AZ",4,61,"3","W","2",3,1,"AZ01"
1946,302,1,1,NA,NA,0,0,1,0,NA,NA,NA,0,0,"3","02","2","Arizona","AZ",4,61,"3","W","2",3,2,"AZ02"
1946,401,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"4","01","1","Arkansas","AR",5,42,"4","S","3",4,1,"AR01"
1946,402,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"4","02","2","Arkansas","AR",5,42,"4","S","3",4,2,"AR02"
1946,403,1,1,NA,63.3,1,5,2,0,NA,NA,NA,0,0,"4","03","3","Arkansas","AR",5,42,"4","S","3",4,3,"AR03"
1946,404,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"4","04","4","Arkansas","AR",5,42,"4","S","3",4,4,"AR04"
1946,405,1,1,85.2,87.1,0,0,0,0,NA,NA,NA,0,0,"4","05","5","Arkansas","AR",5,42,"4","S","3",4,5,"AR05"
1946,406,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"4","06","6","Arkansas","AR",5,42,"4","S","3",4,6,"AR06"
1946,407,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"4","07","7","Arkansas","AR",5,42,"4","S","3",4,7,"AR07"
1946,501,1,1,NA,NA,0,5,2,0,NA,NA,NA,0,0,"5","01","1","California","CA",6,71,"5","W","4",5,1,"CA01"
1946,502,1,1,NA,63.8,0,5,2,0,NA,NA,NA,0,0,"5","02","2","California","CA",6,71,"5","W","4",5,2,"CA02"
